,Name,Rating,Num_Ratings,Price,Id,Status,AscLoc,BusTypes,Hours,Avg_Close,Avg_Open
0,Café Soleil at Eskenazi Health,4.6,37.0,1.25,ChIJ3Z7ruzdXa4gRNsIfdlPQ5R4,CLOSED_TEMPORARILY,IUPUI,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",21.36332417582418,9.732600732600734
1,Farmer's Fridge,4.5,2.0,1.25,ChIJtXOEuipXa4gRN_AKkdHuXWI,OPERATIONAL,IUPUI,[],"[['00:00', 'none']]",30.0,0.0
2,Ingram Micro Mobility Marketplace at Eskenazi Health,4.6,7.0,1.25,ChIJoawzbTdXa4gRklpVautN-Ko,OPERATIONAL,IUPUI,[],"[['06:00', '02:00'], ['06:00', '02:00']]",26.0,6.0
3,Farmer's Fridge,4.098113207547169,286.9433962264151,1.25,ChIJXWWxhStXa4gRLaXQ8DswcMw,OPERATIONAL,IUPUI,[],"[['00:00', 'none']]",30.0,0.0
4,Boar's Head Bistro,4.098113207547169,286.9433962264151,1.25,ChIJHznwGgtXa4gRvz1_0UfZfzw,OPERATIONAL,IUPUI,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",21.36332417582418,9.732600732600734
5,Taqueria Mi Costa,4.4,144.0,1.25,ChIJp2BKuWhXa4gRA_tH_dQsRac,OPERATIONAL,IUPUI,[],"[['12:00', '23:00'], ['11:00', '23:00'], ['11:00', '23:00'], ['11:00', '23:00'], ['11:00', '23:00'], ['11:00', '23:00']]",23.0,11.166666666666666
6,Chick-fil-A,4.1,147.0,1.0,ChIJCU2YMTRXa4gRORHJl4ZGpog,OPERATIONAL,IUPUI,[],"[['10:00', '18:00'], ['10:00', '18:00'], ['10:00', '18:00'], ['10:00', '18:00'], ['10:00', '18:00']]",18.0,10.0
7,Pizza Hut Express,2.4,5.0,1.0,ChIJbTI7Y3dXa4gRH4ooLT42y9A,OPERATIONAL,IUPUI,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",21.36332417582418,9.732600732600734
8,Caribou Coffee,4.3,39.0,2.0,ChIJU2bspUpXa4gRTABNRuHfYLU,OPERATIONAL,IUPUI,"['cafe', 'store']","[['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '18:00'], ['07:00', '15:00']]",17.4,7.0
9,Erbert & Gerbert's Sandwich Shop,4.0,9.0,1.0,ChIJJbJQo0pXa4gR3_c7xwk58kM,OPERATIONAL,IUPUI,[],"[['10:30', '14:00'], ['10:30', '14:00'], ['10:30', '14:00'], ['10:30', '14:00'], ['10:30', '14:00']]",14.0,10.5
10,Panda Express,2.3,3.0,1.0,ChIJC1_HP7JXa4gRcADvZKb6L_Q,OPERATIONAL,IUPUI,[],"[['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none'], ['none', 'none']]",21.36332417582418,9.732600732600734
